Counter	Image	Merger	Myr	Viewpoint	# Bulges	Sep	Flux Ratio	Gini	M20	C	A	S	Sersic n	A_s
38	isolated_galaxies/m1_fg0.3/rot_45/broadband_050.fits	0	0.49	2	1	0	0	0.4627836758845461	-1.7118996041050365	2.683722263883484	0.018022159654813345	0.012367949660567774	0.7983	0.06758659202122086
39	isolated_galaxies/m1_fg0.3/rot_45/broadband_060.fits	0	0.59	2	1	0	0	0.4976305954390505	-1.7323616348400461	2.7338637163074955	0.02373580673860493	0.010471515046047016	0.849	0.05171057008917431
40	isolated_galaxies/m1_fg0.3/rot_45/broadband_100.fits	0	0.98	2	1	0	0	0.4946553596540942	-1.6367414935359295	2.6926150849604036	0.03537822096406344	0.019765426747401716	0.8388	0.08119180516534309
41	isolated_galaxies/m1_fg0.3/rot_45/broadband_200.fits	0	1.96	2	1	0	0	0.4926651380309585	-1.8950565195472118	2.906995532183534	0.03741029707299602	0.008809705815015341	1.1035	0.10012526048130477
42	isolated_galaxies/m0.5_fg0.3/rot_45/broadband_005.fits	0	0.05	3	1	0	0	0.48500255881952276	-1.7277033271604263	2.72553215895401	-0.04492151463271701	0.0023990597879791214	0.8188	0.06489097725630572
43	isolated_galaxies/m0.5_fg0.3/rot_45/broadband_010.fits	0	0.1	3	1	0	0	0.5075994754464059	-1.668263568946359	2.658128946019034	-0.042700310007840386	-0.0016274325816543244	0.743	0.08577186640924078
44	isolated_galaxies/m0.5_fg0.3/rot_45/broadband_030.fits	0	0.29	3	1	0	0	0.5000806544679928	-1.6945472167855269	2.6542859324957706	-0.00962501915296709	-0.002495365424816522	0.7707	0.07980627553849898
45	isolated_galaxies/m0.5_fg0.3/rot_45/broadband_050.fits	0	0.49	3	1	0	0	0.4639052712658803	-1.6154390846580058	2.651491934831328	0.00024907537220623466	0.007693972003621741	0.8078	0.09603970998908579
46	isolated_galaxies/m0.5_fg0.3/rot_45/broadband_200.fits	0	1.96	3	1	0	0	0.5112358782887416	-1.9436285183397228	3.0802028317346	0.0021702376410493783	0.0028396307475439353	1.7649	0.12694544480401945
47	isolated_galaxies/m1_fg0.3/rot_45/broadband_005.fits	0	0.05	3	1	0	0	0.478559005673314	-1.7292175296931922	2.780450626855722	-0.0422589987499987	-0.0065706829728848365	0.8641	0.04948034213523024
48	isolated_galaxies/m1_fg0.3/rot_45/broadband_010.fits	0	0.1	3	1	0	0	0.494606064025634	-1.6622152638009176	2.6813131511208903	-0.013142989129715623	0.006533613254616077	0.795	0.06121705096485317
49	isolated_galaxies/m1_fg0.3/rot_45/broadband_020.fits	0	0.2	3	1	0	0	0.465002057483637	-1.6986882900033953	2.669893600531309	-0.012033273827006448	0.007230884674675238	0.7866	0.05083020898235498
50	isolated_galaxies/m1_fg0.3/rot_45/broadband_030.fits	0	0.29	3	1	0	0	0.49251049075188713	-1.694858788723968	2.696755066504619	0.007786540590007089	0.009606247922635659	0.8019	0.049797923924017946
51	isolated_galaxies/m1_fg0.3/rot_45/broadband_040.fits	0	0.39	3	1	0	0	0.47160215052097565	-1.658321358937181	2.6858172041924093	-0.011691058232585547	0.007120357289406967	0.7892	0.06791024567434784
52	isolated_galaxies/m1_fg0.3/rot_45/broadband_050.fits	0	0.49	3	1	0	0	0.4607598064056584	-1.709855986364807	2.721166034398797	0.005743757667894642	0.01183346691484964	0.8113	0.07110653060858
