Counter	Image	class label	Myr	Viewpoint	# Bulges	Sep	Flux Ratio	Gini	M20	C	A	S	Sersic n	A_s
86	q0.333_fg0.3_allrx10_sunruns/hires_kin/broadband_257.fits	1	2.51	2	2	1.7849848879690262	25.9250737191891	0.5844080984862224	-1.68488669722369	3.4002763465001236	0.2649359381019799	0.020090533644668732	3.3924	0.37525067607951856
87	q0.333_fg0.3_allrx10_sunruns/hires_kin/broadband_262.fits	1	2.56	2	1	0	0	0.5729231523531503	-2.0811400213671747	3.9661979554884583	0.2005628784498151	-0.005186015040823758	3.0348	0.5368231829815244
88	q0.333_fg0.3_allrx10_sunruns/hires_kin/broadband_265.fits	1	2.59	2	1	0	0	0.5791213686966831	-2.1817447666141447	4.113144512809001	0.09612211988119183	-0.007032070897906246	3.4902	0.27239261976908175
89	q0.333_fg0.3_allrx10_sunruns/hires_kin/broadband_270.fits	1	2.64	2	1	0	0	0.5771515859743953	-1.9460016765388182	4.15318913980279	0.12248922877218987	0.0007758789246432701	3.4413	0.24788514159375713
90	q0.333_fg0.3_allrx10_sunruns/hires_kin/broadband_275.fits	1	2.69	2	1	0	0	0.6100092236800878	-2.041218133930853	4.450795931198192	0.08945209263152132	-0.005907912541984325	5.0112	0.41002754961695875
91	q0.333_fg0.3_allrx10_sunruns/hires_kin/broadband_280.fits	1	2.74	2	1	0	0	0.6359590904216355	-2.343711051147083	4.050683714285242	0.10769795439001432	0.004431117646048772	5.0088	0.5379025971605805
92	q0.333_fg0.3_allrx10_sunruns/hires_kin/broadband_285.fits	1	2.79	2	1	0	0	0.5745250474631525	-2.222886303252293	4.09352712019749	0.08853458463198029	0.0027792824064446484	4.9824	0.42397120396878824
93	q0.333_fg0.3_allrx10_sunruns/hires_kin/broadband_287.fits	1	2.84	2	1	0	0	0.5869336118247065	-2.274684400144638	4.27098729856635	0.07435520104236668	-0.005097766173266329	4.9291	0.2233018857262177
94	q0.333_fg0.3_allrx10_sunruns/hires_kin/broadband_288.fits	1	2.93	2	1	0	0	0.6056067101813671	-2.3333168821354673	4.325597159633935	0.02023397732284389	-0.0026252377822751053	4.3153	0.19278109250038206
95	q0.333_fg0.3_allrx10_sunruns/hires_kin/broadband_289.fits	1	3.03	2	1	0	0	0.6112862965970516	-2.3253088058372033	4.491341438007445	0.01576223751936839	-0.024752449792925218	4.4097	0.39594503628708255
96	q0.333_fg0.3_allrx10_sunruns/hires_kin/broadband_290.fits	1	3.13	2	1	0	0	0.5856419467692582	-2.3008777776313734	4.167081844717753	0.033134023130732895	0.005301264169547671	4.9821	0.27441614070751025
97	q0.333_fg0.3_allrx10_sunruns/hires_kin/broadband_295.fits	1	3.62	2	1	0	0	0.5990369573241698	-2.347437675738056	4.261174639926932	-0.014931723564467854	-0.008983483484560016	4.2204	0.15405248521045867
98	q0.333_fg0.3_allrx10_sunruns/hires_kin_early_cen1/broadband_020.fits	1	0.2	3	1	0	0	0.47689245366663024	-1.750509060036686	2.631541307461667	0.0058624071478922315	0.008836200471203978	0.8804	0.07687664489499893
99	q0.333_fg0.3_allrx10_sunruns/hires_kin_early_cen1/broadband_040.fits	1	0.39	3	2	10.656156522157634	5.356486318772051	0.5572560987536492	-1.4096146468393334	3.1560701155983386	0.2312830272054662	0.04941091647615411	0.85	0.367164597127733
100	q0.333_fg0.3_allrx10_sunruns/hires_kin_early_cen1/broadband_080.fits	1	0.78	3	1	0	0	0.6202062058111114	-2.295580846754137	3.864719476637677	0.14274952144321426	0.013213364959025925	8.6038	0.6545581551558799
101	q0.333_fg0.3_allrx10_sunruns/hires_kin_early_cen1/broadband_120.fits	1	1.17	3	1	0	0	0.544349420800713	-2.1555013435615433	4.368825535289075	0.06419787191841786	0.006336057096261546	10.394	0.2730413728043427
102	q0.333_fg0.3_allrx10_sunruns/hires_kin_early_cen1/broadband_140.fits	1	1.37	3	1	0	0	0.5602219884067307	-2.49657664693987	4.478087429895703	0.1619535111994401	0.0028996721023309387	15.499	0.41047638395472213
103	q0.333_fg0.3_allrx10_sunruns/hires_kin/broadband_150.fits	1	1.47	3	1	0	0	0.5954455301580599	-2.495965342240436	4.879719124806943	0.09655631341135054	0.009910637661112593	16.067	0.3546924265212304
104	q0.333_fg0.3_allrx10_sunruns/hires_kin/broadband_170.fits	1	1.66	3	1	0	0	0.6326674933150024	-2.1160309363105356	4.295761962781243	0.17482912325424801	0.005583928524493046	10.429	0.6266887406750495
105	q0.333_fg0.3_allrx10_sunruns/hires_kin/broadband_190.fits	1	1.86	3	2	14.06834723373324	10.642410339320604	0.6071626883706766	-2.13234168954643	4.18040461247511	0.07411745400239123	0.005232339987329714	5.7908	0.5324216630404734
106	q0.333_fg0.3_allrx10_sunruns/hires_kin/broadband_210.fits	1	2.05	3	2	4.467117248075724	10.805378890056764	0.617544193647668	-1.6807335188513426	4.132824151137311	0.2607046524072928	0.036764230592602434	6.8972	0.6010231181431614
107	q0.333_fg0.3_allrx10_sunruns/hires_kin/broadband_220.fits	1	2.15	3	2	8.504620944521882	14.092887984218756	0.6100615846486244	-1.2168437544005117	4.242617013733854	0.2885898265184182	-0.023047921561783393	9.3669	0.7277742016915677
108	q0.333_fg0.3_allrx10_sunruns/hires_kin/broadband_245.fits	1	2.4	3	2	7.172313632778801	13.135300115464933	0.6288989325921547	-1.7091906813014877	4.751259410521145	0.1582391953586808	-0.003106351410601469	6.5565	0.5470319486022409
109	q0.333_fg0.3_allrx10_sunruns/hires_kin/broadband_247.fits	1	2.42	3	2	5.641446134636057	10.363823305021974	0.6060041180018699	-1.6773749004731513	4.453833338639022	0.23732477120697715	0.012150841894120495	6.0742	0.5746479136540181
110	q0.333_fg0.3_allrx10_sunruns/hires_kin/broadband_250.fits	1	2.44	3	2	2.7592040094120605	4.456152038303376	0.5545476103105309	-1.756661312210071	2.8093990525344363	0.5673705015941469	0.028501671154097307	4.9051	0.18917176897244403
111	q0.333_fg0.3_allrx10_sunruns/hires_kin/broadband_252.fits	1	2.46	3	1	0	0	0.5893511938041919	-2.0381214358500426	3.9115309762581503	0.06968206580496233	-0.006424785247539596	3.0594	0.5873742726323722
112	q0.333_fg0.3_allrx10_sunruns/hires_kin/broadband_255.fits	1	2.49	3	1	0	0	0.5894076521858399	-1.9735201911280122	3.4953325651445804	0.1897578894736971	0.007581661554709248	2.3198	0.4248689465249953
113	q0.333_fg0.3_allrx10_sunruns/hires_kin/broadband_257.fits	1	2.51	3	1	0	0	0.5525424181069171	-1.722062561568034	3.658482802653402	0.2738904759359834	-0.0013236697600299387	2.8465	0.6193580825513448
114	q0.333_fg0.3_allrx10_sunruns/hires_kin/broadband_262.fits	1	2.56	3	1	0	0	0.5716673913281103	-1.8210292668922659	4.028827471226197	0.2603708873085984	-0.019247251780147065	3.3781	0.7267525255851498
115	q0.333_fg0.3_allrx10_sunruns/hires_kin/broadband_265.fits	1	2.59	3	1	0	0	0.6127110250481083	-2.142253130107591	4.327640156352634	0.14023592380539926	-0.022381274710236217	3.756	0.5636801704675849
116	q0.333_fg0.3_allrx10_sunruns/hires_kin/broadband_270.fits	1	2.64	3	1	0	0	0.5889432213249124	-1.9283706966440253	4.350228096311036	0.19419588061729545	0.006648311338470984	5.3925	0.3638321357043959
117	q0.333_fg0.3_allrx10_sunruns/hires_kin/broadband_275.fits	1	2.69	3	1	0	0	0.5936135522692968	-2.01287826159225	4.4655075446791175	0.11872908195601842	-0.011686022019779564	5.038	0.4444074700317495
118	q0.333_fg0.3_allrx10_sunruns/hires_kin/broadband_280.fits	1	2.74	3	1	0	0	0.6313566413619973	-2.2222878026279345	3.888363845408752	0.13070173636517549	0.009311571989524522	3.8828	0.5335678775523787
