Counter	Image	Merger	Myr	Viewpoint	# Bulges	Sep	Flux Ratio	Gini	M20	C	A	S	Sersic n	A_s
13	isolated_galaxies/m1_fg0.1/rot_45/broadband_040.fits	0	0.39	1	1	0	0	0.5340868656644355	-1.7803381100508604	2.7787055625955714	-0.04079790712092458	-0.002209342250478179	0.8719	0.08907524948919648
14	isolated_galaxies/m1_fg0.1/rot_45/broadband_050.fits	0	0.49	1	1	0	0	0.49453483757808125	-1.7296829957644928	2.8151219466981754	-0.02604447677197296	-0.00350200938761531	0.8694	0.07988561034671753
15	isolated_galaxies/m1_fg0.1/rot_45/broadband_060.fits	0	0.59	1	1	0	0	0.5112557347332901	-1.7343021970259973	2.7502765592760814	0.004081146147703873	0.003954616126071835	0.8557	0.0803207823269305
16	isolated_galaxies/m1_fg0.1/rot_45/broadband_100.fits	0	0.98	1	1	0	0	0.5200590881029133	-1.7509683369717663	2.878192449996886	-0.02046917212040497	0.001060243952893187	0.9371	0.0986712835870534
17	isolated_galaxies/m1_fg0.1/rot_45/broadband_200.fits	0	1.96	1	1	0	0	0.5521646693425792	-2.0707901962100808	3.538873001547941	-0.051252180393811776	0.01025235405036805	2.1013	0.17178051428857127
18	isolated_galaxies/m1_fg0.1/rot_45/broadband_005.fits	0	0.05	2	1	0	0	0.503807177536238	-1.744644497245354	2.7919564107975736	-0.01817151890143579	-0.0037023497400700276	0.8606	0.06619389995852933
19	isolated_galaxies/m1_fg0.1/rot_45/broadband_010.fits	0	0.1	2	1	0	0	0.5157746637118807	-1.7419270432635858	2.7826204896654265	-0.04928181400503258	-0.004464229500115483	0.8462	0.08130206204545298
20	isolated_galaxies/m1_fg0.1/rot_45/broadband_020.fits	0	0.2	2	1	0	0	0.49139393236936224	-1.776991250593344	2.7690537899678302	-0.022232150631939975	0.0004238249173862662	0.8605	0.050544284762221114
21	isolated_galaxies/m1_fg0.1/rot_45/broadband_030.fits	0	0.29	2	1	0	0	0.5167277072978457	-1.763885441522237	2.812885728035515	-0.04038040731086092	-0.002861190381259637	0.8614	0.0693488055771745
22	isolated_galaxies/m1_fg0.1/rot_45/broadband_040.fits	0	0.39	2	1	0	0	0.5208264146725101	-1.717044018923968	2.7873405187143967	-0.03943447353706585	-0.002465638217112426	0.8591	0.07013605860765289
23	isolated_galaxies/m1_fg0.1/rot_45/broadband_050.fits	0	0.49	2	1	0	0	0.48242580454742207	-1.740995234724458	2.798730600737272	-0.02500394223671567	-0.002112993198891445	0.886	0.079833704145213
24	isolated_galaxies/m1_fg0.1/rot_45/broadband_060.fits	0	0.59	2	1	0	0	0.5139413052670717	-1.772565065660966	2.813672126393837	-0.04486480012795207	-0.0004513373744984875	0.8743	0.11596564226796016
25	isolated_galaxies/m1_fg0.1/rot_45/broadband_100.fits	0	0.98	2	1	0	0	0.528496684562676	-1.6498585569171877	2.783580650039556	-0.010348527956075475	0.010053917035790805	0.93	0.0936107783680887
26	isolated_galaxies/m1_fg0.1/rot_45/broadband_200.fits	0	1.96	2	1	0	0	0.5256663910373494	-1.6646254134479748	2.9619057022929223	0.010739103185537427	0.03183142348436718	1.8629	0.09557595111065981
27	isolated_galaxies/m1_fg0.1/rot_45/broadband_005.fits	0	0.05	3	1	0	0	0.5026951617502385	-1.7435451710770333	2.7961544340323323	-0.03405356231062538	-0.0017230205939290438	0.8546	0.06644691657192875
28	isolated_galaxies/m1_fg0.1/rot_45/broadband_010.fits	0	0.1	3	1	0	0	0.5142398352146957	-1.7110027195768682	2.733636771888266	-0.024925716285757307	0.0016881612136498585	0.8313	0.050105565727035555
