Counter	Image	class label	Myr	Viewpoint	# Bulges	Sep	Flux Ratio	Gini	M20	C	A	S	Sersic n	A_s
43	q0.2_fg0.3_BT0.2_allrx10_sunruns/hires_kin_early_cen1/broadband_120.fits	1	1.17	2	1	0	0	0.49675580995896856	-1.7614410549542874	3.015490946146964	0.03689752644765541	0.009586472942274108	0.9106	0.2421787773457457
44	q0.2_fg0.3_BT0.2_allrx10_sunruns/hires_kin_early_cen1/broadband_150.fits	1	1.47	2	1	0	0	0.49077460075237717	-1.783182629135186	3.105728334203919	-0.02253151321494775	0.006257431872611364	0.9294	0.13410422771190064
45	q0.2_fg0.3_BT0.2_allrx10_sunruns/hires_kin_early_cen1/broadband_180.fits	1	1.76	2	1	0	0	0.5178651911181295	-1.8013240505621184	3.0861368069056976	-0.03813197697630106	0.002095247984351683	1.0343	0.10377673426340363
46	q0.2_fg0.3_BT0.2_allrx10_sunruns/hires_kin_early_cen1/broadband_210.fits	1	2.05	2	1	0	0	0.5256690238554864	-1.8496433033889101	3.1402051204582997	0.01851990298797888	0.008216551517362797	1.1185	0.16168026807168015
47	q0.2_fg0.3_BT0.2_allrx10_sunruns/hires_kin_early_cen1/broadband_240.fits	1	2.35	2	1	0	0	0.475286104036452	-1.8367195109319352	3.080811504534011	-0.03993061493575315	0.007594982830432489	1.0351	0.1246993919041448
48	q0.2_fg0.3_BT0.2_allrx10_sunruns/hires_kin_early_cen1/broadband_270.fits	1	2.64	2	2	7.5030633118895125	8.965200362147367	0.5077223807923085	-1.2985910298382128	2.733742958030063	0.46008105739075594	0.02431592106551196	1.1284	0.4593228010671156
49	q0.2_fg0.3_BT0.2_allrx10_sunruns/hires_kin_early_cen1/broadband_300.fits	1	2.93	2	1	0	0	0.562607639047611	-1.8913005460428158	3.19103549114031	0.07332882031223727	0.005508126889189467	1.4701	0.22833631100480964
50	q0.2_fg0.3_BT0.2_allrx10_sunruns/hires_kin/broadband_320.fits	1	3.13	2	2	3.542643582913134	11.350108156723143	0.5449920505126045	-1.2594080175231803	3.0185497526867318	0.17849270853551025	0.02382547381898031	1.4977	0.3479617934111486
51	q0.2_fg0.3_BT0.2_allrx10_sunruns/hires_kin/broadband_340.fits	1	3.32	2	2	2.138106061447844	8.130551405672358	0.5679067139870169	-1.6309555065516765	3.3056714618017367	0.10589705638756595	0.023234229800707377	1.6299	0.3277916329490566
52	q0.2_fg0.3_BT0.2_allrx10_sunruns/hires_kin/broadband_360.fits	1	3.52	2	1	0	0	0.5753174271403504	-1.8821012245053028	3.2193856231839924	0.03480999983662394	0.009370364205675762	1.4394	0.3317269119068726
53	q0.2_fg0.3_BT0.2_allrx10_sunruns/hires_kin/broadband_380.fits	1	3.72	2	1	0	0	0.5554432365367161	-1.8886701335180653	3.333532973025752	-0.013796943313414047	-0.009630758272503372	1.714	0.35560954582596593
54	q0.2_fg0.3_BT0.2_allrx10_sunruns/hires_kin/broadband_400.fits	1	3.91	2	1	0	0	0.5659220332386349	-1.9792016326373456	3.3500792827416612	-0.030079535537172793	-0.009047140470276932	1.7065	0.19482507927898254
55	q0.2_fg0.3_BT0.2_allrx10_sunruns/hires_kin/broadband_420.fits	1	4.11	2	1	0	0	0.5654703695250158	-1.9723337483834489	3.3854982814444172	-0.10331734577663959	-0.0075036488530485345	1.6037	0.28769144646013567
56	q0.2_fg0.3_BT0.2_allrx10_sunruns/hires_kin/broadband_440.fits	1	4.29	2	1	0	0	0.5677248181621533	-1.9863515326312313	3.2712508072724606	-0.04653885384638747	-0.0018852196088939169	1.6656	0.15790344670937895
57	q0.2_fg0.3_BT0.2_allrx10_sunruns/hires_kin/broadband_460.fits	1	4.49	2	1	0	0	0.5774570471176432	-1.9687927020239502	3.362925191674289	-0.038551405512449476	-0.011856215674009601	1.599	0.10864922636185224
58	q0.2_fg0.3_BT0.2_allrx10_sunruns/hires_kin/broadband_480.fits	1	4.68	2	1	0	0	0.5605787949669229	-1.970538633888124	3.233436819770063	-0.047305819510322575	-0.007123493862207102	1.6299	0.15823740668296055
59	q0.2_fg0.3_BT0.2_allrx10_sunruns/hires_kin/broadband_500.fits	1	4.88	2	1	0	0	0.5816363337065708	-1.9702026842547793	3.300674244854311	-0.07368463067460354	-0.01016777810262693	1.5924	0.23349371847764444
60	q0.2_fg0.3_BT0.2_allrx10_sunruns/hires_kin_early_cen1/broadband_005.fits	1	0.05	3	1	0	0	0.5170981221986152	-1.8885145887002335	3.0017647818336672	-0.05427780519664152	-0.011579175692408631	1.3828	0.05946209844155838
61	q0.2_fg0.3_BT0.2_allrx10_sunruns/hires_kin_early_cen1/broadband_060.fits	1	0.59	3	1	0	0	0.5481220087004366	-1.8476736265739166	2.954757254974094	0.11158770260040791	0.04957640863210075	0.953	0.2832838233762649
62	q0.2_fg0.3_BT0.2_allrx10_sunruns/hires_kin_early_cen1/broadband_090.fits	1	0.88	3	1	0	0	0.5015898292678496	-1.8658479074409304	2.855743635349635	0.03179728247050494	0.0287279564985159	1.2569	0.2674923221953728
63	q0.2_fg0.3_BT0.2_allrx10_sunruns/hires_kin_early_cen1/broadband_120.fits	1	1.17	3	1	0	0	0.5393941696346124	-1.891623716669065	2.9005015525826554	0.062250032302251845	0.00980499512147574	1.3793	0.1419772464024754
64	q0.2_fg0.3_BT0.2_allrx10_sunruns/hires_kin_early_cen1/broadband_150.fits	1	1.47	3	1	0	0	0.5010860115869934	-1.895006279987318	2.9642652887778445	0.040544859449128584	0.0058855024366945025	1.4063	0.15604975279405964
65	q0.2_fg0.3_BT0.2_allrx10_sunruns/hires_kin_early_cen1/broadband_180.fits	1	1.76	3	1	0	0	0.4961093589252503	-1.8841894330471456	2.9043649910825433	0.02301926990546349	0.0024602657869798794	1.4519	0.1231789517312556
66	q0.2_fg0.3_BT0.2_allrx10_sunruns/hires_kin_early_cen1/broadband_210.fits	1	2.05	3	1	0	0	0.5154385762344118	-1.909793412327457	3.0258748362836023	0.008409458798964965	0.006795854897775935	1.5075	0.10768318487536913
67	q0.2_fg0.3_BT0.2_allrx10_sunruns/hires_kin_early_cen1/broadband_240.fits	1	2.35	3	1	0	0	0.4662480590951619	-1.9176160819899002	2.9509217127231375	-0.010589598111853275	-0.0009812817474873742	1.4487	0.10402663663085454
68	q0.2_fg0.3_BT0.2_allrx10_sunruns/hires_kin_early_cen1/broadband_270.fits	1	2.64	3	2	1.3903707914717514	0.29952977481646625	0.49797635221027675	-1.4684677105152903	2.373474165085417	0.4788992830719102	0.010413697827791581	0.3351	0.5089733926596213
69	q0.2_fg0.3_BT0.2_allrx10_sunruns/hires_kin_early_cen1/broadband_300.fits	1	2.93	3	1	0	0	0.5859710665704944	-1.9361724861860192	3.2616143656717975	0.1127237758983884	0.0038594104624243984	1.5549	0.5104393145530075
70	q0.2_fg0.3_BT0.2_allrx10_sunruns/hires_kin/broadband_320.fits	1	3.13	3	2	5.121775626376516	13.131671199292803	0.5634974124572296	-1.30551479279569	3.2421135755755066	0.14923052803168638	0.008975024416328295	1.6369	0.44551367946398895
71	q0.2_fg0.3_BT0.2_allrx10_sunruns/hires_kin/broadband_340.fits	1	3.32	3	1	0	0	0.5524895089213412	-1.386221687445518	3.151242028694444	0.13530078371844584	0.01180968842881262	1.9319	0.4953317150713165
72	q0.2_fg0.3_BT0.2_allrx10_sunruns/hires_kin/broadband_360.fits	1	3.52	3	1	0	0	0.5814916215329607	-2.0205705354947945	3.3902569926995456	0.04447921427637601	0.00491877528885596	1.7254	0.3495193326577477
73	q0.2_fg0.3_BT0.2_allrx10_sunruns/hires_kin/broadband_380.fits	1	3.72	3	1	0	0	0.5677114313921561	-1.9343761465626423	3.270798166258924	0.02706323354615077	-0.005909972963483082	1.8809	0.33663813711698026
74	q0.2_fg0.3_BT0.2_allrx10_sunruns/hires_kin/broadband_400.fits	1	3.91	3	1	0	0	0.5772991996919087	-2.05293098706253	3.362986609835283	0.016674331185440677	-0.0019584117472807015	1.9141	0.39622694849233475
75	q0.2_fg0.3_BT0.2_allrx10_sunruns/hires_kin/broadband_420.fits	1	4.11	3	1	0	0	0.5680796797759655	-2.0113759413916545	3.3193898429311415	-0.025065712775252547	-0.056691428854473584	1.7772	0.3845988222571222
76	q0.2_fg0.3_BT0.2_allrx10_sunruns/hires_kin/broadband_440.fits	1	4.29	3	1	0	0	0.5883606239936325	-2.0772354788600054	3.3193735864031066	-0.032474510115057746	-0.013317880766236356	1.8713	0.23281367051023316
77	q0.2_fg0.3_BT0.2_allrx10_sunruns/hires_kin/broadband_460.fits	1	4.49	3	1	0	0	0.5656651890386333	-1.9878738068124093	3.158183481802747	-0.057236954646203986	-0.01776541818447568	1.7746	0.27646170344339255
78	q0.2_fg0.3_BT0.2_allrx10_sunruns/hires_kin/broadband_480.fits	1	4.68	3	1	0	0	0.5561168222395756	-1.9956441580691915	3.338066328946096	-0.03569953096779356	-0.016164681664464522	1.7463	0.16290587414376637
79	q0.2_fg0.3_BT0.2_allrx10_sunruns/hires_kin/broadband_500.fits	1	4.88	3	1	0	0	0.5692683408824531	-2.008705335310766	3.2166474548226205	-0.06163249401901246	-0.06791175419427779	1.7531	0.2650108343226406
80	q0.2_fg0.3_BT0.2_allrx10_sunruns/hires_kin_early_cen1/broadband_005.fits	1	0.05	4	1	0	0	0.5266996299315577	-1.9180042823621635	3.019413830369682	-0.048151601837915364	-0.01686800914403073	1.4341	0.06961947404464794
81	q0.2_fg0.3_BT0.2_allrx10_sunruns/hires_kin_early_cen1/broadband_060.fits	1	0.59	4	1	0	0	0.567192575225471	-1.691497708174732	2.704532143520424	0.08442639004013787	0.058226589052633164	0.9198	0.38360674647112847
